"Temperature","Nutrient_Type","Growth_Rate"
25.7515504024923,"A",160.471762819034
35.7661027088761,"B",1158.49934382466
28.179538436234,"A",256.300799872975
37.6603480800986,"B",1689.75668410879
38.8093456858769,"A",2123.05021113941
20.9111299877986,"C",72.6564677556222
30.5621097609401,"C",421.75843543778
37.8483808878809,"B",1754.8171231997
31.0287002893165,"C",459.103310773118
29.1322947060689,"A",310.097406151337
39.1366669069976,"B",2270.29785642801
29.0666831238195,"B",312.163740118059
33.5514127090573,"C",753.804731793467
31.4526680391282,"B",494.651998398526
22.0584936533123,"A",75.0619078971567
37.9964994080365,"C",1814.38034434039
24.9217546870932,"C",143.576559349703
20.8411906706169,"C",74.6212743128022
26.558414385654,"B",196.240148229081
39.0900729829445,"B",2243.58237462423
37.7907863212749,"C",1741.08347137582
33.856068123132,"A",789.608588365119
32.8101362753659,"A",638.79015746318
39.8853955324739,"C",2634.03864489158
33.1141159823164,"B",683.655725523874
34.1706093633547,"B",845.049168245702
30.8813204942271,"B",440.148310080958
31.8828404089436,"B",540.491768278326
25.7831947458908,"B",170.422274271277
22.9422729462385,"B",95.9340390780632
39.2604846507311,"C",2330.58359229343
38.0459809023887,"B",1826.52886089498
33.8141055684537,"A",784.235724286276
35.9093483537436,"B",1191.81198131338
20.492273690179,"B",63.9835010319609
29.5559194218367,"B",341.66783674545
35.1691907504573,"C",1037.0645333261
24.3281587166712,"B",126.032717407557
26.363620152697,"C",192.405598266087
24.6325157070532,"B",133.357655724312
22.8560004476458,"C",104.099459739391
28.2909267162904,"A",260.866880940232
28.2744865259156,"C",269.598117878565
27.3769090184942,"C",236.349521632446
23.0488949548453,"C",104.582034590851
22.7761212689802,"A",91.2117322933675
24.660681989044,"C",141.081055190812
29.3192490050569,"C",330.90170685112
25.3194528073072,"B",153.418067617369
37.1565543068573,"B",1529.95492324849
20.916623333469,"B",68.5944200774959
28.8440014841035,"C",303.268657849136
35.9784969128668,"C",1215.24634405965
22.4379851995036,"C",99.2736967258219
31.2189596751705,"B",471.843563817914
24.1306277923286,"A",115.062106482516
22.5506330048665,"B",91.9155738252678
35.0661572860554,"A",1005.73663075917
37.900907183066,"C",1778.95897512869
27.4892555177212,"C",233.833280612395
33.3023038925603,"B",710.692960722942
21.8968132184818,"A",79.3348182616032
27.6793927559629,"C",242.5681646829
25.4876728914678,"A",150.525194261379
36.2928007775918,"C",1292.71660515205
28.970326827839,"B",305.116290263288
36.201287060976,"B",1267.22742704158
36.2477901903912,"A",1271.90386586864
35.8868464222178,"C",1195.02112583592
28.7966337520629,"B",294.422687538139
35.089503172785,"A",1010.22519616249
32.5844226311892,"C",623.171451948157
34.2036480270326,"C",856.843239712588
20.012495466508,"C",62.4705631716375
29.5063314819708,"A",331.32840259271
24.4023777032271,"B",132.518373821708
27.5963307544589,"B",235.708136595481
32.2554200654849,"A",572.54712730878
27.0359581848606,"B",209.481655214502
22.2227084869519,"C",89.2737953424197
24.8723894543946,"C",149.603563870556
33.3611117489636,"A",718.759505186684
28.3529355935752,"B",270.654092070612
35.7639166805893,"A",1155.97783221059
22.057292885147,"B",83.3219127717343
28.6978548299521,"C",293.885390365963
39.6991395996884,"C",2539.61250750719
37.8610222879797,"A",1752.8885398365
37.7293812157586,"C",1721.93041767301
23.5010530054569,"B",108.865240646366
22.613913831301,"A",88.1208502733685
33.0620385007933,"A",675.332938978368
26.870329445228,"B",206.629380979473
33.1351625593379,"C",693.681787201856
26.4074648497626,"A",180.01192747023
23.7538223853335,"B",117.456805726
35.6458860263228,"B",1132.18251169498
21.8718997342512,"A",75.0054061677171
29.3355808313936,"B",325.433424839955
30.2301091980189,"A",382.616841260782
