Fert,Light,Biomass.m2
F-,L-,254.2
F-,L-,202
F-,L-,392.4
F-,L-,455.3
F-,L-,359.1
F-,L-,386.5
F-,L-,355.2
F-,L-,323.1
F-,L-,373.2
F-,L-,324
F-,L-,301.8
F-,L-,313.6
F-,L-,387.5
F-,L-,428.4
F-,L-,447.3
F-,L-,389.1
F+,L-,404.7
F+,L-,423.3
F+,L-,464.2
F+,L-,547.2
F+,L-,351.6
F+,L-,434.5
F+,L-,257.9
F+,L-,457.9
F+,L-,370.3
F+,L-,413.1
F+,L-,598
F+,L-,565.8
F+,L-,397.6
F+,L-,457.3
F+,L-,532.5
F+,L-,515.9
F-,L+,344.5
F-,L+,450.2
F-,L+,393.3
F-,L+,463.8
F-,L+,369.7
F-,L+,401.3
F-,L+,377.8
F-,L+,514.5
F-,L+,152.3
F-,L+,223.7
F-,L+,444.6
F-,L+,477.6
F-,L+,513.9
F-,L+,380.3
F-,L+,355.4
F-,L+,311.8
F+,L+,475.6
F+,L+,625.7
F+,L+,468.2
F+,L+,701.6
F+,L+,420.5
F+,L+,550.8
F+,L+,521
F+,L+,653.4
F+,L+,623.4
F+,L+,747.9
F+,L+,383
F+,L+,658.7
F+,L+,548.9
F+,L+,750.4
F+,L+,538.1
F+,L+,533.1
